Area Codes,All Ages
E01033164,2180
E01033195,1267
E01033197,3102
E01033221,4228
E01020705,1548
E01020706,1853
E01020715,2517
E01020745,1288
E01020753,1946
E01020757,1143
E01020758,1365
E01020759,1195
E01020765,1618
E01020684,2671
E01020702,2642
E01020704,2281
E01020712,1813
E01020713,2301
E01020760,1677
E01020761,1472
E01020762,1511
E01020763,1888
E01020733,1220
E01020734,1210
E01020735,1395
E01020770,1182
E01020771,1039
E01020780,1211
E01020764,1148
E01020766,1384
E01020767,1808
E01020768,1545
E01020746,1153
E01020769,1307
E01020777,1406
E01020778,1141
E01020779,1621
E01020685,1671
E01020686,1558
E01020687,1416
E01020688,1522
E01020689,1520
E01020736,1262
E01020737,1384
E01020738,1013
E01020739,1292
E01020744,968
E01020788,1489
E01020789,1494
E01020790,1306
E01020791,1356
E01020792,1572
E01020694,1523
E01020696,1265
E01020697,1687
E01020732,2113
E01020889,1387
E01020890,1819
E01020891,1628
E01020905,1527
E01020906,1700
E01020772,2023
E01020793,1700
E01020794,1732
E01020795,1807
E01020695,1877
E01020698,1646
E01020699,1389
E01020700,1574
E01020701,1346
E01020876,1740
E01020878,1721
E01020887,1932
E01020892,1069
E01020894,1297
E01020898,1520
E01020877,1455
E01020879,2225
E01020893,1949
E01020899,1285
E01020903,1157
E01020904,1675
E01020817,1260
E01020818,1423
E01020819,1085
E01020837,1624
E01020843,1583
E01020809,1424
E01020810,1291
E01020811,1267
E01020812,1464
E01020827,1766
E01020806,1432
E01020807,1202
E01020820,1658
E01020842,2377
E01020797,2422
E01020798,1467
E01020799,1483
E01020808,1385
E01020873,1485
E01020875,1335
E01020900,1631
E01020901,1424
E01020902,1478
E01020821,2063
E01020822,1852
E01020823,1698
E01020835,1601
E01020836,2563
E01020803,2356
E01020805,1937
E01033203,2714
E01020796,1316
E01020828,1603
E01020829,2449
E01020830,1544
E01020868,1782
E01020869,1392
E01020874,1586
E01020880,1532
E01020881,1339
E01020870,1302
E01020871,1387
E01020872,1832
E01020883,1644
E01020886,1343
E01020882,1504
E01020888,1953
E01020895,1458
E01020896,1421
E01020897,2770
E01020884,1354
E01020885,1245
E01020907,1642
E01020908,1406
E01020909,1761
E01020801,1467
E01020802,1939
E01020838,1713
E01020839,1607
E01020840,1698
E01020841,1759
E01020813,1260
E01020814,1414
E01020815,1242
E01020848,1071
E01020850,2086
E01020851,1394
E01020816,1448
E01020844,1565
E01020847,1524
E01020849,1265
E01020825,1545
E01020831,1388
E01020833,1266
E01020834,1343
E01020824,1534
E01020826,1573
E01020832,1413
E01020845,1349
E01020846,1215
E01020856,1552
E01020858,1078
E01020859,1201
E01020860,1107
E01020861,1215
E01020862,2398
E01020864,2026
E01020867,2261
E01020857,1509
E01020863,1353
E01020865,1311
E01020866,974
E01020852,1711
E01020853,1564
E01020854,2545
E01020855,1181
E06000005,105646
E01012334,2492
E01012335,1373
E01012366,2025
E01033481,1569
E01033482,1568
E01012323,1500
E01012324,1372
E01032545,1667
E01032546,1723
E01012328,1506
E01012329,1750
E01012330,1030
E01012331,1184
E01012349,1484
E01012350,1427
E01012351,1469
E01012352,1494
E01012325,1419
E01012326,1125
E01012332,1392
E01012333,1507
E01012309,1859
E01012310,2048
E01012311,1542
E01012312,1407
E01012313,1422
E01012314,1351
E01012362,1347
E01012363,1299
E01012364,1414
E01012365,1201
E01012353,1628
E01012354,1581
E01012355,1486
E01033483,1078
E01033484,1180
E01012307,1822
E01012327,1448
E01012342,2062
E01012343,2135
E01012315,1640
E01012316,2731
E01012360,1689
E01012336,1656
E01012337,1714
E01012347,1663
E01012348,2118
E01012361,1766
E01012304,1155
E01012305,1234
E01012306,1490
E01012340,2372
E01012341,1756
E01012317,1362
E01012318,2408
E01012319,2678
E01012356,1694
E01012357,1398
E01012358,1470
E01012359,1672
E01012338,2105
E01012339,1757
E01012344,1342
E01012345,1564
E01012346,1826
E06000001,92817
E01011954,2148
E01011969,1330
E01011970,1120
E01011971,1449
E01033465,2030
E01033467,1932
E01011952,1703
E01011953,1953
E01011991,1818
E01011992,1573
E01011993,1801
E01011994,1469
E01011955,1351
E01011957,1225
E01032540,1029
E01032541,2197
E01033466,2467
E01011973,1160
E01011974,1808
E01011975,1289
E01011976,962
E01011965,1569
E01011966,1360
E01011983,1625
E01012002,1417
E01011951,1306
E01011964,1347
E01011967,1468
E01011999,2073
E01012000,1410
E01011950,1339
E01011986,1274
E01011987,1320
E01012001,2243
E01011949,1909
E01011980,1638
E01011981,1744
E01011984,1218
E01011985,1304
E01011988,1916
E01011989,1783
E01011990,1736
E01011995,1379
E01011996,1460
E01011997,2031
E01011998,1663
E01011961,1436
E01011962,1432
E01011977,1718
E01011978,1534
E01011979,1736
E01011959,2194
E01011960,1312
E01011963,1371
E01011968,2035
E01011982,1285
E01012003,1415
E01012005,2003
E06000002,140398
E01012068,2193
E01012092,2558
E01012093,2141
E01012094,2946
E01033468,2959
E01012058,1403
E01012059,1591
E01012060,1672
E01012061,1398
E01012036,1721
E01012037,1620
E01012038,1669
E01012039,1696
E01012040,1605
E01012041,991
E01012074,1518
E01012075,1563
E01012076,1569
E01012077,1429
E01012088,1439
E01012078,1498
E01012079,1392
E01012080,1241
E01012081,1779
E01012026,1547
E01012027,2023
E01033469,1879
E01012015,1484
E01012016,1723
E01012017,1547
E01012089,1559
E01012090,1485
E01012091,1657
E01012011,1939
E01012012,1766
E01012013,1397
E01012014,1608
E01012053,1685
E01012054,1792
E01012055,1883
E01012056,2663
E01012057,2003
E01012082,1547
E01012083,1576
E01012084,1625
E01012085,1424
E01012018,1517
E01012019,1294
E01012020,1586
E01012021,1378
E01012007,1478
E01012008,1426
E01012009,1795
E01012010,1439
E01012046,1711
E01012047,1567
E01012048,1731
E01012049,1350
E01012050,1495
E01012051,1371
E01012052,1268
E01012022,1460
E01012023,1296
E01012024,1473
E01012025,1283
E01012065,1794
E01012066,1939
E01012067,1517
E01012042,1400
E01012043,1377
E01012044,1665
E01012045,1552
E01032552,1637
E01032553,1313
E01012030,1524
E01012031,1639
E01012032,1671
E01012033,1224
E01012034,1480
E01012035,1315
E01012062,1430
E01012063,1404
E01012064,2332
E01012071,1379
E01012073,1411
E01032593,2074
E06000057,316002
E01027376,1722
E01027377,1641
E01027385,1337
E01027387,1763
E01027388,1362
E01027389,1665
E01027378,1188
E01027379,1420
E01027380,1411
E01027382,1672
E01027386,1322
E01027374,1953
E01027375,1793
E01027381,1822
E01027383,1235
E01027384,1443
E01027390,2065
E01027356,1748
E01027357,1267
E01027366,1439
E01027367,1810
E01027358,1906
E01027359,2265
E01033715,1057
E01033717,1535
E01027361,1977
E01027362,1418
E01027363,1283
E01027364,1872
E01027370,1731
E01027371,1890
E01027372,2127
E01027365,2187
E01027368,1733
E01027369,1532
E01027373,1937
E01027443,1449
E01027444,2531
E01027445,1583
E01027446,1300
E01027451,1786
E01027474,1939
E01027475,1403
E01027541,1603
E01027542,1908
E01027543,1293
E01027544,1351
E01027528,1359
E01027529,1065
E01027539,1679
E01027545,1939
E01027546,1615
E01027457,1630
E01027462,1954
E01027463,1771
E01027524,1700
E01027525,1557
E01027526,1191
E01027527,1333
E01027536,1347
E01027533,1610
E01027540,1890
E01027549,1853
E01033716,2398
E01027532,1884
E01027537,1357
E01027538,1762
E01027447,1815
E01027448,1933
E01027450,1602
E01027473,1908
E01027452,1339
E01027453,1398
E01027461,1292
E01033718,2096
E01027530,1392
E01027531,1738
E01027534,1849
E01027535,1341
E01027553,1689
E01027554,1311
E01027455,1497
E01027456,1290
E01027458,1817
E01027460,1668
E01027479,2285
E01027480,1243
E01027503,1655
E01027511,1074
E01027515,1428
E01027517,1910
E01027518,1462
E01027519,1390
E01027550,1292
E01027551,1464
E01027552,1244
E01027514,1610
E01027516,1168
E01027520,1495
E01027521,1652
E01027522,1307
E01027523,1126
E01027392,1618
E01027393,1603
E01027416,1614
E01027424,2042
E01027414,1405
E01027415,1580
E01027431,1718
E01027441,2665
E01027442,1540
E01027391,1495
E01027422,1812
E01027423,1488
E01027429,1836
E01027430,1616
E01027425,3095
E01027426,1556
E01027427,1718
E01027428,1451
E01027437,1709
E01027438,1407
E01027439,1878
E01027440,1431
E01027400,1340
E01027401,1457
E01027402,1268
E01027403,1170
E01027395,1637
E01027396,1365
E01027397,1376
E01027399,1450
E01027404,1500
E01027405,1389
E01027398,2288
E01027409,1486
E01027411,1457
E01027412,1511
E01027413,1889
E01027417,1468
E01027418,1897
E01027419,1575
E01027420,1364
E01027421,1474
E01027394,1039
E01027406,1240
E01027407,1240
E01027408,1333
E01027410,1564
E01027432,1540
E01027433,2312
E01027434,1309
E01027435,1387
E01027436,1601
E01027464,1395
E01027465,1534
E01027466,1354
E01033714,2558
E01027449,1609
E01027468,1278
E01027469,1439
E01027471,1687
E01027472,1728
E01027476,2366
E01027489,1490
E01027490,1743
E01027491,1531
E01027492,1838
E01027493,1641
E01027494,2304
E01027483,1366
E01027496,1222
E01027508,1104
E01027513,1929
E01027484,2215
E01027485,1549
E01027486,1101
E01027487,1148
E01027512,1013
E01027497,2647
E01027498,2772
E01027499,1594
E01027500,1680
E01027501,1032
E01027502,1168
E01027481,1702
E01027482,1553
E01027504,1980
E01027506,1175
E01027507,1391
E01027509,1373
E01027477,1205
E01027478,1160
E01027488,2092
E01027495,1104
E01027505,1457
E01027510,1224
E06000003,135404
E01012100,1692
E01012101,1503
E01012102,2312
E01012184,1436
E01012105,1395
E01012142,1638
E01012143,1357
E01012144,1377
E01012106,1372
E01012107,1345
E01032560,1073
E01032561,1551
E01012176,1422
E01012177,1468
E01012178,1391
E01012179,1567
E01012180,1722
E01012185,1427
E01012186,1599
E01012127,1190
E01012128,1198
E01012129,2329
E01012130,1277
E01012131,1428
E01012138,2553
E01012139,1795
E01012140,1332
E01012141,1058
E01012154,1205
E01012155,1510
E01012156,1649
E01012157,1623
E01012158,1459
E01012159,1571
E01012160,1525
E01012161,1594
E01012113,1381
E01012114,1475
E01012175,1428
E01033471,2278
E01012095,1297
E01012097,1224
E01012098,1497
E01012099,1490
E01012108,1423
E01012109,1363
E01012110,1403
E01012111,1280
E01012171,1361
E01012172,1333
E01012162,1420
E01012163,2239
E01012164,1559
E01012165,2390
E01012096,1484
E01012136,1460
E01033473,2185
E01012112,1517
E01012145,1443
E01012147,1790
E01012149,1173
E01012132,1936
E01012134,1355
E01012137,1290
E01012181,1695
E01012117,1579
E01012118,1397
E01012119,2093
E01012121,1378
E01032548,1575
E01032549,1779
E01033472,2527
E01012120,1235
E01012124,1439
E01012182,1377
E01012183,1484
E01012148,1479
E01012150,1478
E01012151,1489
E01012152,1522
E01032594,1458
E01012146,1221
E01012167,1654
E01012168,1920
E01012170,1328
E01012173,1102
E01012174,1009
E01033470,1769
E06000004,195681
E01012242,1468
E01012243,1606
E01012244,1354
E01012246,1330
E01012296,1354
E01012297,2502
E01012197,2008
E01012256,1291
E01012257,1413
E01012275,1568
E01012276,1777
E01012277,1705
E01012196,1605
E01012198,1449
E01012214,1668
E01012215,1335
E01012216,1320
E01012245,1614
E01012278,1292
E01012279,1866
E01012280,1532
E01012281,1295
E01012255,1319
E01012269,1671
E01012294,1218
E01012295,1214
E01033476,1731
E01033480,1847
E01012210,1497
E01012211,1784
E01012212,1502
E01012213,1369
E01012192,1478
E01012193,1510
E01012260,1741
E01012261,1478
E01012247,1316
E01012249,1582
E01012271,1481
E01012272,1002
E01012273,1607
E01012274,1335
E01012248,1357
E01012250,1628
E01032542,1621
E01032543,2155
E01032544,2098
E01012194,1507
E01012195,1542
E01012258,2221
E01012259,1781
E01012268,1538
E01012187,1369
E01012188,1121
E01012189,1373
E01012205,1395
E01012219,1741
E01012251,1592
E01012252,1545
E01012253,1332
E01012254,1467
E01012204,1259
E01012206,1449
E01012207,1913
E01012208,1611
E01012262,3074
E01012264,2846
E01012266,2397
E01012267,1750
E01033477,2785
E01012190,1416
E01012191,1578
E01012224,1682
E01012225,1466
E01012226,1331
E01012209,1649
E01012217,1512
E01012218,1589
E01012223,1553
E01012286,1489
E01012287,2870
E01012288,1433
E01012289,1346
E01012238,1555
E01012239,2520
E01012240,1734
E01012241,1434
E01012290,1760
E01012291,1958
E01012292,2389
E01012282,1271
E01012283,1257
E01012284,1514
E01012285,1325
E01012199,1430
E01012200,2027
E01012201,1839
E01012202,1488
E01012203,1810
E01012270,1381
E01012228,1339
E01012230,1580
E01012233,1466
E01012236,1283
E01012237,1292
E01012227,1639
E01012231,2001
E01012232,1390
E01012234,1623
E01033474,2119
E01033475,2053
E01033478,3100
E01033479,1833
E01012235,1347
E01012298,1389
E01012299,1538
E01012300,1520
E01012301,1332
E01012302,1283
E01012303,1447
E08000037,201592
E01008246,1460
E01008247,1516
E01008248,2504
E01008249,1547
E01008250,1425
E01008195,2056
E01008197,1489
E01008198,1446
E01008199,1441
E01008200,1368
E01008245,1399
E01008214,1599
E01008215,1667
E01008243,1477
E01008244,1944
E01008178,1556
E01008180,1491
E01008182,1739
E01008277,1510
E01008280,1812
E01008177,1263
E01008179,1173
E01008181,1483
E01008276,1438
E01008279,1420
E01008209,2049
E01008210,1450
E01008258,2330
E01008259,1846
E01008167,1635
E01008169,1656
E01008170,1953
E01008171,1862
E01008257,1483
E01008262,1666
E01008263,1592
E01008264,1406
E01008265,1370
E01008266,1281
E01008251,1856
E01008252,1913
E01008253,1719
E01008254,1410
E01008255,1893
E01008165,1521
E01008201,1655
E01008202,1821
E01008204,1556
E01008212,1394
E01008213,1575
E01008216,1583
E01008228,1120
E01008206,1700
E01008207,1374
E01008208,1669
E01008211,1757
E01008283,1282
E01008284,1424
E01008286,1516
E01008287,2006
E01008231,1628
E01008240,1518
E01008241,1601
E01008242,1632
E01008281,1554
E01008282,1443
E01008219,1738
E01008235,1391
E01008236,1465
E01008237,1525
E01008238,1511
E01008267,1525
E01008269,1422
E01008270,1328
E01008271,1334
E01008275,1440
E01008229,1336
E01008230,1404
E01008232,1409
E01008233,1267
E01008285,1363
E01008256,1702
E01008260,1539
E01008261,1443
E01008268,1442
E01008272,1354
E01008273,1437
E01008274,1357
E01008193,1199
E01008194,1388
E01008234,2154
E01008239,1465
E01008218,1605
E01008220,1232
E01008221,1771
E01008225,1678
E01008227,1715
E01008184,1373
E01008185,1317
E01008188,1394
E01008278,1407
E01008189,1367
E01008190,1324
E01008191,1426
E01008192,1392
E01008217,1463
E01008183,1422
E01008186,1943
E01008187,1693
E01008196,1985
E01008222,1554
E01008223,1895
E01008224,2323
E01008226,1715
E01008172,1662
E01008173,1624
E01008174,2132
E01008175,1496
E01008176,1408
E01008162,2708
E01008164,1514
E01008166,1890
E01008168,2710
E01008163,2245
E01008203,1777
E01008205,1572
E08000021,296478
E01008294,1486
E01008306,1638
E01008307,1029
E01008308,2933
E01008311,2185
E01008312,1265
E01008313,1221
E01008309,1769
E01008352,1492
E01008357,1564
E01008358,1545
E01033550,2063
E01033551,1776
E01008336,1364
E01008337,1451
E01008338,1230
E01008339,1676
E01008340,1443
E01008341,1383
E01008342,1331
E01008293,1398
E01008456,1460
E01008457,1622
E01008458,1654
E01008459,1931
E01008460,1494
E01008351,1408
E01008354,1714
E01008418,1967
E01008420,1328
E01008422,1719
E01008424,1744
E01008353,1527
E01008355,1572
E01008356,1458
E01008378,1426
E01008419,1506
E01008421,1487
E01008423,1340
E01008317,1496
E01008319,1854
E01008320,1575
E01008321,1749
E01008322,1521
E01008323,1496
E01008295,1676
E01008374,1554
E01008375,1532
E01008376,1153
E01008377,2393
E01008379,1510
E01008380,1776
E01008296,1375
E01008297,1604
E01008298,1378
E01008299,1374
E01008314,1148
E01008315,1546
E01008316,1628
E01008318,1393
E01008363,1622
E01008365,1663
E01008366,2105
E01008369,2054
E01008371,1386
E01008372,1994
E01008373,2628
E01008400,1404
E01008401,1587
E01008402,1490
E01008403,1390
E01008404,1655
E01008405,1447
E01008443,1392
E01008324,1340
E01008325,1346
E01008326,1429
E01008327,1327
E01008328,1162
E01008329,1527
E01008330,1367
E01008300,1627
E01008450,1603
E01008451,1819
E01008452,1413
E01008367,2176
E01008368,1713
E01008370,1791
E01008409,1648
E01008411,1735
E01008303,1877
E01008359,1592
E01008360,1653
E01008361,1694
E01008362,1922
E01008364,1697
E01008343,1587
E01008344,1592
E01008345,1551
E01008346,1789
E01008347,1461
E01008348,1168
E01008349,1737
E01008350,1562
E01008430,1281
E01008431,1349
E01008433,1393
E01008434,1414
E01008435,1540
E01008436,1522
E01008381,1478
E01008382,1319
E01008383,1445
E01008384,1392
E01008385,1370
E01008386,1320
E01008387,1388
E01008396,2895
E01008398,1813
E01008449,2037
E01008453,1810
E01008455,1759
E01033556,3422
E01008406,3291
E01008407,3936
E01008410,1993
E01008412,1774
E01008413,1694
E01033548,1485
E01033553,3769
E01008394,1566
E01008395,1861
E01008397,3451
E01008399,1901
E01008439,1890
E01033543,1956
E01033545,1681
E01033554,3584
E01008415,1282
E01008416,1641
E01033547,2160
E01008301,1734
E01008302,1591
E01008304,2054
E01008305,2464
E01008391,1499
E01008392,1532
E01008432,1348
E01008288,1326
E01008289,1597
E01008290,1605
E01008291,2337
E01008292,1372
E01008388,1838
E01008389,1728
E01008426,1643
E01008429,1451
E01008331,1803
E01008332,2631
E01008333,1840
E01008334,2201
E01008335,2256
E01008437,1248
E01008438,1883
E01008390,1970
E01008425,1739
E01008427,1049
E01008428,1323
E01008441,1685
E01008442,1339
E01008444,1502
E01008445,1939
E01008446,1373
E01008447,1270
E01008448,1394
E08000022,203307
E01008547,1397
E01008548,1441
E01008549,1526
E01008551,1467
E01008478,1506
E01008480,1535
E01008504,1551
E01008578,1349
E01008583,1421
E01008520,1400
E01008523,1312
E01008546,1540
E01008550,1609
E01008577,1459
E01008579,1455
E01008580,1343
E01008581,1679
E01008582,1399
E01008517,1591
E01008519,1354
E01008521,1421
E01008522,1568
E01008584,1578
E01008585,1574
E01008587,1411
E01008588,1569
E01008589,1519
E01008518,1644
E01008564,1404
E01008565,2530
E01008567,1401
E01008475,1641
E01008476,1778
E01008477,1701
E01008479,1471
E01008552,1610
E01008553,1839
E01008554,1591
E01008555,1697
E01008586,1528
E01008495,1747
E01008496,1536
E01008497,1472
E01008498,1467
E01008568,1436
E01008569,1483
E01008570,1274
E01032647,2079
E01032648,1566
E01008500,1533
E01008505,1769
E01008506,1360
E01008507,1435
E01008493,1481
E01008494,1565
E01008556,1986
E01008557,1576
E01008470,1424
E01008499,1624
E01008502,1602
E01008516,1318
E01008488,1403
E01008489,1808
E01008490,1544
E01008491,1588
E01008558,1565
E01008560,1628
E01008561,1686
E01008562,1487
E01008525,1527
E01008527,1409
E01008559,1534
E01008563,1475
E01008469,1480
E01008472,1417
E01008473,1288
E01008501,2197
E01008503,1937
E01008471,1641
E01008474,1464
E01008513,2338
E01008514,1773
E01032649,1194
E01032650,1072
E01008486,1388
E01008487,1417
E01008526,1398
E01008530,1538
E01008461,1388
E01008466,1246
E01008467,1476
E01008468,1362
E01008483,1443
E01008524,1799
E01008528,1395
E01008529,1549
E01008481,1463
E01008482,1695
E01008484,1450
E01008485,1543
E01008492,1745
E01008462,1441
E01008463,1275
E01008464,1338
E01008465,1404
E01008531,1390
E01008532,1514
E01008534,1329
E01008538,1204
E01008508,1559
E01008509,1666
E01008510,1561
E01008512,1519
E01008539,1435
E01008540,1699
E01008541,1534
E01008544,1650
E01008545,1288
E01008511,1609
E01008542,1616
E01008543,2503
E01008571,1872
E01008572,1765
E01008573,1735
E01008574,1976
E01008576,2094
E01008533,1483
E01008535,1523
E01008536,1431
E01008537,1259
E01008575,1343
E08000023,149418
E01008595,1522
E01008596,1391
E01008597,2614
E01008598,1558
E01008599,1415
E01008664,1624
E01008665,1335
E01008666,1675
E01008667,1553
E01008668,1613
E01008673,1203
E01008675,1370
E01008676,1312
E01008677,1321
E01008678,1245
E01008647,1474
E01008648,1306
E01008649,1668
E01008651,2209
E01008679,1279
E01008680,1409
E01008682,1207
E01008683,1453
E01008635,1364
E01008650,1427
E01008674,1170
E01008681,1417
E01008600,1366
E01008604,1665
E01008660,1405
E01008661,1074
E01008633,1424
E01008634,1295
E01008636,1429
E01008637,1413
E01008639,2399
E01008652,1171
E01008653,1251
E01008654,1180
E01008655,1502
E01008657,1307
E01008638,1342
E01008640,2308
E01008641,1159
E01008642,1327
E01008590,1444
E01008591,1325
E01008592,1273
E01008594,1939
E01008601,1608
E01008669,1487
E01008671,1164
E01008672,1360
E01008622,1729
E01008625,1449
E01033074,2654
E01008602,1469
E01008603,1287
E01008608,1156
E01008670,1529
E01008643,1462
E01008644,1572
E01008645,1711
E01008646,1400
E01008656,1396
E01008658,1402
E01008593,1295
E01008605,1162
E01008606,1498
E01008607,1451
E01008609,1478
E01008631,1391
E01008632,1203
E01008659,1454
E01008662,1250
E01008663,1393
E01008624,1374
E01008684,1118
E01008685,1801
E01008686,1666
E01008687,1790
E01008688,1369
E01008689,1523
E01008690,1385
E01008691,1184
E01008692,1418
E01008627,1276
E01008628,1420
E01008629,1431
E01008630,1433
E01008610,1418
E01008611,1407
E01008612,1490
E01008613,1544
E01008616,1486
E01008618,1259
E01008619,1608
E01008621,1402
E01008614,1747
E01008615,1403
E01008617,1484
E01008620,1440
E08000024,277962
E01008713,1606
E01008722,1474
E01008724,1123
E01008726,1469
E01008723,1390
E01008725,1360
E01008727,1505
E01008728,1414
E01008792,1287
E01008698,1516
E01008837,1265
E01008838,1580
E01008839,1320
E01008840,1450
E01008841,1196
E01008712,1668
E01008817,1175
E01008819,1386
E01008821,1516
E01008822,1597
E01008842,1379
E01008708,1457
E01008709,1404
E01008711,1443
E01008820,1093
E01033075,2399
E01008786,1449
E01008787,1605
E01008788,1492
E01008789,1326
E01008790,1466
E01008791,2073
E01008855,1456
E01008856,1382
E01008876,1493
E01008877,1650
E01008693,1370
E01008694,1365
E01008695,1493
E01008696,1300
E01008697,1384
E01008699,1362
E01008853,1353
E01008854,1461
E01008857,1404
E01008858,1336
E01008859,1363
E01008860,1397
E01008878,1531
E01008873,1276
E01008874,1780
E01008875,1478
E01008879,1378
E01008880,1131
E01008701,2007
E01008704,1547
E01008706,1645
E01008707,1676
E01008756,1541
E01008762,1615
E01008812,1785
E01033076,1738
E01008700,1686
E01008703,2633
E01008705,1146
E01008831,2524
E01008834,1858
E01008810,1680
E01008811,1625
E01008813,1543
E01008814,1594
E01008757,1538
E01008758,1410
E01008759,1463
E01008761,1457
E01008702,1234
E01008735,2106
E01008736,1199
E01008737,1360
E01008738,1215
E01008836,1436
E01008845,1369
E01008846,1122
E01008847,1352
E01008850,2336
E01008851,1584
E01008760,1461
E01008830,1591
E01008832,1570
E01008833,1405
E01008843,1285
E01008844,1402
E01008848,1285
E01008849,1270
E01008852,1190
E01008867,1632
E01008868,1160
E01008869,1262
E01008870,1390
E01008871,1418
E01008872,1663
E01008729,1033
E01008730,1706
E01008731,1252
E01008732,2085
E01008733,1671
E01008734,1351
E01008740,1441
E01008781,1460
E01008782,1430
E01008783,1363
E01008784,1504
E01008785,1371
E01008835,1504
E01008823,1457
E01008824,1478
E01008825,1516
E01008826,1413
E01008827,1244
E01008828,1672
E01008829,1350
E01008739,1538
E01008741,1418
E01008779,1372
E01008780,1928
E01008799,1709
E01008861,1506
E01008862,1377
E01008863,1584
E01008864,1226
E01008865,1371
E01008866,1427
E01008773,1365
E01008776,1234
E01008777,1376
E01008778,1409
E01008809,1570
E01008803,1522
E01008804,1659
E01008805,1410
E01033077,1753
E01008763,1496
E01008764,1419
E01008766,2408
E01008768,1723
E01008769,1711
E01008772,1350
E01008774,1297
E01008775,1335
E01008802,1424
E01008808,1384
E01008793,1708
E01008795,1759
E01008797,2336
E01008800,1444
E01008801,1645
E01008765,1491
E01008767,1445
E01008770,1356
E01008771,1456
E01008720,1352
E01008721,1611
E01008796,1591
E01032483,1699
E01032484,1271
E01008750,1895
E01008751,1198
E01008752,1809
E01008753,1244
E01008755,1303
E01008714,1540
E01008715,1367
E01008716,1299
E01008717,1694
E01008749,1371
E01008754,1430
E01008718,1365
E01008719,1221
E01008742,1664
E01008747,1469
E01008748,1289
E01008743,1646
E01008744,1668
E01008745,1656
E01008746,2034
E06000008,147049
E01012607,1465
E01012608,2164
E01012633,1647
E01012634,1385
E01012635,1707
E01012636,1482
E01012581,1259
E01012582,1617
E01012583,1712
E01012587,2109
E01012588,2072
E01012574,1438
E01012577,1847
E01012578,1887
E01012605,2271
E01012606,1680
E01012579,1739
E01012580,2144
E01012642,1816
E01012645,1993
E01012585,1684
E01012586,1587
E01012656,1695
E01012657,2015
E01012658,1814
E01012629,1126
E01012631,1330
E01012643,1539
E01012644,2408
E01012655,1927
E01012571,1591
E01012572,1523
E01012573,1688
E01012575,1192
E01012630,2260
E01012576,1574
E01012637,1572
E01012638,1619
E01012639,1846
E01012640,1737
E01012641,1837
E01012595,2207
E01012596,1918
E01012622,1580
E01012623,1437
E01012624,1535
E01012625,1592
E01012584,1597
E01012609,1469
E01012610,1213
E01012611,1030
E01012612,1339
E01012613,1262
E01012600,1361
E01012601,1490
E01012602,1530
E01012603,1607
E01012604,1550
E01012632,2050
E01012594,1455
E01012618,1458
E01012619,1378
E01012620,1316
E01012621,1507
E01012593,1715
E01012597,1742
E01012598,3009
E01012599,1155
E01012589,1341
E01012590,1287
E01012591,1530
E01012648,1123
E01012652,1433
E01012617,1346
E01012646,1554
E01012647,1431
E01012650,1354
